"","company","streetadd","place","state","zip"
"64","Lockheed Martin","6801 Rockledge Dr.","Bethesda","Maryland","20817"
"65","FedEx","942 S. Shady Grove Rd.","Memphis","Tennessee","38120"
"66","Johnson Controls","5757 N. Green Bay Ave.","Milwaukee","Wisconsin","53209"
"67","Plains GP Holdings","333 Clay St.","Houston","Texas","77002"
"68","World Fuel Services","9800 N.W. 41st St.","Miami","Florida","33178"
"69","CHS","5500 Cenex Dr.","Inver Grove Height","Minnesota","55077"
"70","American Airlines Group","4333 Amon Carter Blvd.","Fort Worth","Texas","76155"
"71","Merck","1 Merck Dr.","Whitehouse Station","New Jersey","8889"
"72","Best Buy","7601 Penn Ave. S.","Richfield","Minnesota","55423"
"73","Delta Air Lines","1030 Delta Blvd.","Atlanta","Georgia","30354"
"74","Honeywell International","101 Columbia Rd.","Morris Township","New Jersey","7962"
"75","HCA Holdings","1 Park Plaza","Nashville","Tennessee","37203"
"76","Goldman Sachs Group","200 West St.","New York","New York","10282"
"77","Tesoro","19100 Ridgewood Pkwy.","San Antonio","Texas","78259"
"78","Liberty Mutual Insurance Group","175 Berkeley St.","Boston","Massachusetts","2116"
"79","United Continental Holdings","233 S. Wacker Dr.","Chicago","Illinois","60606"
"80","New York Life Insurance","51 Madison Ave.","New York","New York","10010"
"81","Oracle","500 Oracle Pkwy.","Redwood City","California","94065"
"82","Morgan Stanley","1585 Broadway","New York","New York","10036"
"83","Tyson Foods","2200 Don Tyson Pkwy.","Springdale","Arkansas","72762"
"84","Safeway","5918 Stoneridge Mall Rd.","Pleasanton","California","94588"
"85","Nationwide","1 Nationwide Blvd.","Columbus","Ohio","43215"
"86","Deere","1 John Deere Place","Moline","Illinois","61265"
"87","DuPont","1007 Market St.","Wilmington","Delaware","19898"
"88","American Express","200 Vesey St.","New York","New York","10285"
"89","Allstate","2775 Sanders Rd.","Northbrook","Illinois","60062"
"90","Cigna","900 Cottage Grove Rd.","Bloomfield","Connecticut","6002"
"91","Mondelez International","3 Pkwy. N.","Deerfield","Illinois","60015"
"92","TIAA-CREF","730 Third Ave.","New York","New York","10017"
"93","INTL FCStone","708 Third Ave.","New York","New York","10017"
"94","Massachusetts Mutual Life Insur","1295 State St.","Springfield","Massachusetts","1111"
"95","DirecTV","2260 E. Imperial Hwy.","El Segundo","California","90245"
"96","Halliburton","3000 N. Sam Houston Pkwy E.","Houston","Texas","77032"
"97","Twenty-First Century Fox","1211 Ave. of the Americas","New York","New York","10036"
"98","3M","3M Center","St. Paul","Minnesota","55144"
"99","Sears Holdings","3333 Beverly Rd.","Hoffman Estates","Illinois","60179"
"100","General Dynamics","2941 Fairview Park Dr.","Falls Church","Virginia","22042"
"101","Publix Super Markets","3300 Publix Corporate Pkwy.","Lakeland","Florida","33811"
"102","Philip Morris International","120 Park Ave.","New York","New York","10017"
"103","TJX","770 Cochituate Rd.","Framingham","Massachusetts","1701"
"104","Time Warner","1 Time Warner Center","New York","New York","10019"
"105","Macy's","7 W. Seventh St.","Cincinnati","Ohio","45202"
"106","Nike","1 Bowerman Dr.","Beaverton","Oregon","97005"
"107","Tech Data","5350 Tech Data Dr.","Clearwater","Florida","33760"
"108","Avnet","2211 S. 47th St.","Phoenix","Arizona","85034"
"109","Northwestern Mutual","720 E. Wisconsin Ave.","Milwaukee","Wisconsin","53202"
"110","McDonald's","1 McDonald's Plaza","Oak Brook","Illinois","60523"
"111","Exelon","10 S. Dearborn St.","Chicago","Illinois","60603"
